filename, Darier_s-Disease, Epidermolysis-Bullosa-Pruriginosa, Hailey-Hailey-Disease, Hemangiome, Impetigo, Leishmanios, Lupus-Erythematosus-Chronicus-Discoides, Melanoma, Molluscum-Contagiosum, Porokeratosis, Psoriasis, Tinea-Corporis, Tungiasis, acne, basal-cell-carcinoma, eczema, lichen, nevus, normal skin
molluscum-contagiosum-157_jpg.rf.f0b25085e170e3b61461382347f7dd48.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lupus-chronic-cutaneous-65_jpg.rf.f0b3f6e5f4ca3a165b42d5f4c79505ec.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMPetigo_png.rf.f12ed83e5c0d13f73c5301377c13fb69.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
istockphoto-517447385-1024x1024_jpg.rf.f0dd762cb88edb5023a463462462cdf5.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Darier_s-Disease-32-_jpg.rf.f13ec54bcba79b040d069d85a98dd6c5.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Lupus-Erythematosus-Chronicus-Discoides-66-_jpg.rf.f14a1cef8617ee03474b38ac44fc181e.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DARIER8_PNG.rf.f127bf28fd38de4c624ac904ccea4d8e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
325423456354fgd_jpg.rf.f0eead2e846d19bb57254deb30c15088.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
nevus-169-_jpg.rf.f0be3a6ec9e2a80aa509bf18867c40d5.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Basal-Cell-Carcinoma-319-_jpg.rf.f1558d5702870127d3b98b6e054b5a91.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
lichen-planus-205_jpg.rf.f0e7f022916a8a3501f9cedbcbffe36f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
melanoma_153_jpg.rf.f14f28c76f10afd3e65b4874ad6fc202.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
eczema-50-_jpg.rf.f0f759ffe1ed2a6742013437b196d216.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
324qw_jpg.rf.f11f2b9701238b94ab7ed9871cb89a4d.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
melanoma_9920_jpg.rf.f0c2a8ee56343f81e0e78e799aaafcd8.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
psoriasis_17_jpeg_jpg.rf.f0bdb4b5c2ac91f881f24e7563aafd17.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
DARIER7_PNG.rf.f143516d01427b3c78c6d38721e5c262.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Porokeratosis-Actinic-71-_jpg.rf.f0b8e025da82c1b77f7ba31eed0d8a46.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Basal-Cell-Carcinoma-74-_jpg.rf.f0b573046f12d217aa6e2364caf5c41f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
normal206_png_jpg.rf.f17786a992bd5f4ab66114fa936975c2.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
acne-148-_jpg.rf.f0ced19a7258e0ac5292c0f9d1f44d91.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
normal150_png_jpg.rf.f0cccdb70e64e4452f75d2c2cd8ab9a4.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Darier_s-Disease-2-_PNG.rf.f14a47c0cbf10189481eb4c9d3581887.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
istockphoto-1473133789-612x612_jpg.rf.f1730c2ae36e1afc618e04100268ef02.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Porokeratosis-29-_jpg.rf.f11ef6995f022ddcfe1b0c6f9857c2d2.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Tungiasis-53-_jpg.rf.f0fa842bd4e53ea159beacadd3e0a4bf.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Capture-d-ecran-2024-05-21-210728_png.rf.f18bd68cf6298d289f53474606a990ae.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Psoriasis-1-_jpg.rf.f19b5f6e5a59c79842c16b8cbd5c579f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
tinea-corporis-12-_PNG.rf.f1463bfb48dd4fcfec863f74cd2f26d1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
EC26_JPG.rf.f1a0b9edf0aed715742101da4c68efcc.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Tungiasis-87-_jpg.rf.f16ffea2b04268561cf973bfadb59d82.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Hailey-Hailey-Disease-18-_jpg.rf.f1a10287b83a457fc05561edc730a5f2.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
melanoma_9607_jpg.rf.f1a4b00a0186bd9f9e618878bcc3a99d.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
normal18_png_jpg.rf.f16265113f866172e96c59cf27282c1f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Psoriasis-83-_jpg.rf.f1ac7611f118a4ee74dee6d647f3e55b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
istockphoto-696414010-612x612_jpg.rf.f1af4074459e15f7bd9b781e1c1a2ca4.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Psoriasis-Chronic-Plaque-11_jpg.rf.f22b351ae1ccf4e315504f1997e48b74.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
ECZEMA9870_jpg.rf.f1e6c1cd9b71d0a94cd32cff40d9cb4e.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Darier_s-Disease-28-_jpg.rf.f1cd9b5e217e8ea29462efe900bc26cb.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Melanoma-1-_jpg.rf.f1f50bd83dd21df8a98b6da4c90d3da1.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acne-240-_jpg.rf.f211372bd229058762ccedf5490f4b73.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
nevus-246-_jpg.rf.f1e6b47f124727eea6f9d7e53e91d24f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
nevus-119-_jpg.rf.f1ba511e3ff038b7c466469b4b9e5754.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
acne-excoriated-28_jpg.rf.f1f6772f1b0f686c43f7ee251ce66cdf.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Lupus-Erythematosus-Chronicus-Discoides-19-_jpg.rf.f2119688422f4cb74565d83c8e09d072.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
eczema-208-_jpg.rf.f205a7c1755887191d926e206b4f3fe0.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Capture-d-ecran-2024-05-21-005248_png.rf.f22f7e704636fc54b7ab699e94715a9e.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dariers-disease-58_jpg.rf.f1cb533b52645b0194a75db80181235d.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nevus-199-_jpg.rf.f242fe397d9b3ece067c749a3c00bc5a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
